39,-1.85084429e-03,-4.87585971e-04,1.52562462e-04,4.86747313e-04,9.60787690e-04,-3.47566430e-03
37,-2.15191377e-03,-1.13770490e-04,5.25953815e-05,1.42447561e-03,6.19216850e-04,-3.29648779e-03
38,-2.06035642e-03,2.75526420e-04,-1.48296663e-04,1.82323665e-04,3.14859976e-04,-2.38507211e-03
43,-1.81828023e-03,-2.61785503e-04,-1.05460347e-04,1.14710997e-04,6.16187105e-04,-3.26113608e-03
42,-1.98489844e-03,-8.31256804e-04,-1.77385063e-04,2.73807626e-04,7.51533637e-04,-3.38006350e-03
41,-1.89564067e-03,-4.25797801e-04,1.76604339e-04,-4.93565983e-05,1.56426915e-04,-2.99306277e-03
40,-9.57621792e-03,4.48533593e-03,-3.52436590e-04,-1.24941436e-03,7.01731041e-04,-4.04111998e-03
22,-5.50165655e-03,-2.22506286e-03,-1.66646241e-03,2.36435682e-03,3.60256688e-04,-7.11496989e-03
organized,-3.45244273e-03,-2.28786510e-03,-7.10313111e-05,6.84224070e-04,-4.41265788e-04,6.35425137e-04
23,-5.21934045e-03,-1.56316688e-03,-1.21207704e-03,3.01771274e-03,-5.72342285e-04,-6.57853156e-03
24,-8.72212232e-03,8.63450104e-05,-1.42222506e-04,-2.71400769e-03,-2.72732923e-03,-5.70806748e-03
25,-1.08518354e-02,1.71332368e-03,-1.36796740e-03,2.63084451e-03,-6.59604123e-04,-5.16643194e-03
26,-4.66733316e-03,-2.16879190e-03,-1.43379957e-03,2.03239970e-03,4.80348149e-05,-5.51038791e-03
27,-4.06877134e-03,-1.31802009e-03,1.87816295e-04,1.97637626e-03,2.05441433e-04,-5.50377076e-03
28,-4.70735451e-03,-1.71127455e-03,-1.11380010e-03,1.35577486e-03,8.44635731e-04,-6.31027528e-03
29,-4.03359214e-03,-1.95636784e-03,-3.90987479e-04,2.34831191e-03,-1.90763284e-04,-5.48568856e-03
30,-1.41479364e-02,5.17917266e-03,-1.86783118e-03,3.57106911e-03,-2.62008434e-03,-5.14989369e-03
32,-2.73273109e-03,-2.78983887e-04,9.74321546e-05,-2.39485220e-04,9.51823937e-04,-4.42563499e-03
31,-3.70631493e-03,-1.02260250e-03,-7.61006138e-04,1.55520499e-03,2.67750040e-05,-4.61191956e-03
19,-5.76315474e-03,-1.27431302e-03,-8.03425680e-04,3.72158721e-03,-2.43124922e-04,-6.85829393e-03
17,-6.06507318e-03,-1.53216710e-03,-9.85730124e-04,3.13851960e-03,-1.86075377e-04,-7.32384295e-03
